pais,iso,migracion_neta,anio
Nepal,NPL,-325542,2022
Netherlands,NLD,110006,2022
New Caledonia,NCL,5660,2022
New Zealand,NZL,61999,2022
Nicaragua,NIC,-80154,2022
Niger,NER,-28497,2022
Nigeria,NGA,-300000,2022
North America,NAC,6000004,2022
Norway,NOR,115003,2022
OECD members,OED,9904392,2022
Oman,OMN,-50000,2022
Other small states,OSS,21440,2022
Pacific island small states,PSS,-64626,2022
Pakistan,PAK,-732415,2022
Panama,PAN,28882,2022
Papua New Guinea,PNG,0,2022
Paraguay,PRY,-76682,2022
Peru,PER,-128859,2022
Philippines,PHL,-400000,2022
Poland,POL,-38090,2022
Portugal,PRT,26926,2022
Post-demographic dividend,PST,11407007,2022
Pre-demographic dividend,PRE,-1937712,2022
Puerto Rico,PRI,-59999,2022
Qatar,QAT,75000,2022
Romania,ROU,-109304,2022
Russian Federation,RUS,500002,2022
Rwanda,RWA,-44999,2022
Samoa,WSM,-12500,2022
Sao Tome and Principe,STP,-4753,2022
Saudi Arabia,SAU,200000,2022
Senegal,SEN,-99996,2022
Serbia,SRB,-50002,2022
Seychelles,SYC,-1551,2022
Sierra Leone,SLE,-30000,2022
Singapore,SGP,149222,2022
Slovak Republic,SVK,4999,2022
Slovenia,SVN,6002,2022
Small states,SST,-151295,2022
Solomon Islands,SLB,-12000,2022
Somalia,SOM,-150000,2022
South Africa,ZAF,100000,2022
South Asia,SAS,-5146362,2022
South Asia (IDA & IBRD),TSA,-5146362,2022
South Sudan,SSD,50000,2022
Spain,ESP,274135,2022
Sri Lanka,LKA,-375170,2022
St. Lucia,LCA,40,2022
St. Vincent and the Grenadines,VCT,-2502,2022
Sub-Saharan Africa,SSF,-1748853,2022
Sub-Saharan Africa (excluding high income),SSA,-1747302,2022
Sub-Saharan Africa (IDA & IBRD countries),TSS,-1748853,2022
Sudan,SDN,-45000,2022
Suriname,SUR,-4999,2022
Swaziland,SWZ,-9999,2022
Sweden,SWE,183001,2022
Switzerland,CHE,200000,2022
Syrian Arab Republic,SYR,2779904,2022
Tajikistan,TJK,-99999,2022
Tanzania,TZA,-199999,2022
Thailand,THA,96244,2022
Timor-Leste,TLS,-50004,2022
Togo,TGO,-9996,2022
Tonga,TON,-4880,2022
Trinidad and Tobago,TTO,-3998,2022
Tunisia,TUN,-20000,2022
Turkey,TUR,-999997,2022
Turkmenistan,TKM,-25001,2022
Uganda,UGA,-150000,2022
Ukraine,UKR,-40002,2022
United Arab Emirates,ARE,275000,2022
United Kingdom,GBR,850623,2022
United States,USA,5000002,2022
Upper middle income,UMC,-4125881,2022
Uruguay,URY,-15000,2022
Uzbekistan,UZB,-250001,2022
Vanuatu,VUT,603,2022
"Venezuela, RB",VEN,-48401,2022
Vietnam,VNM,-200000,2022
Virgin Islands (U.S.),VIR,-1799,2022
West Bank and Gaza,PSE,-25000,2022
World,WLD,0,2022
"Yemen, Rep.",YEM,-200000,2022
Zambia,ZMB,-40000,2022
Zimbabwe,ZWE,-106641,2022
