p4_4,origin_country_code,age,destination_country_code,year,p4_9,p4_9c,year_return,cond_resid,doc_mig,ent,tam_loc,tpo_mig,fac_hog,sex,motive,category,status,socioeconomic_level,origin_country,destination_country
1,13,1,201,30,1,13,2022,2,1.0,13,4,,283,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
1,13,1,101,61,1,13,2022,1,1.0,13,4,10.0,283,Male,Job search,Economic,Established,Low,Mexico,Mexico
1,13,1,201,29,1,13,2023,2,1.0,13,4,,283,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
1,13,1,201,43,1,13,2022,2,1.0,13,4,,283,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
1,13,1,301,24,1,13,2022,1,1.0,13,4,9.0,283,Male,Job search,Economic,Established,Low,Mexico,United States
1,13,1,301,19,1,13,2019,1,1.0,13,4,3.0,283,Male,Job search,Economic,Established,Low,Mexico,United States
1,21,1,101,45,1,13,2023,2,1.0,13,4,,359,Male,Job search,Economic,Returned,Low,Mexico,Mexico
1,13,1,301,20,1,13,2020,2,2.0,13,4,,207,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,301,26,1,13,2021,2,2.0,13,4,,207,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,301,25,1,13,2023,2,,13,4,,207,Male,Job search,Economic,Returned,Low,Mexico,United States
1,15,1,301,28,1,13,2023,2,,13,4,,236,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,201,58,1,13,2021,2,9.0,13,4,,236,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
1,13,1,201,36,1,13,2022,2,2.0,13,4,,236,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
1,13,1,301,18,1,13,2019,2,2.0,13,4,,236,Male,Job search,Economic,Returned,Low,Mexico,United States
1,221,1,301,16,1,13,2021,2,1.0,13,4,,336,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,2,301,15,1,13,2023,2,1.0,13,4,,283,Female,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,301,21,1,13,2021,2,2.0,13,4,,283,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,201,30,1,13,2022,2,2.0,13,4,,283,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
