"upm","viv_sel","hogar","n_ren","llave_mig","llave_per","llave_hog","llave_viv","ent","tam_loc","p4_4","p4_5","p4_5c","p4_6","p4_7","p4_7c","p4_8","p4_9","p4_9c","p4_10_1","p4_10_2","p4_11","p4_11c","p4_12","p4_12c","p4_13","p4_14","p4_14c","p4_15","p4_15c","p4_16","p4_16c","p4_17","p4_17c","p4_18_1","p4_18_2","p4_19","p4_19c","p4_20_1","p4_20_2","fac_hog","t_loc_ur","t_loc_ag1","p4_8_ag1","p4_8_ag2","doc_mig","cond_resid","tpo_mig","tpo_mig_ag","estrato","est_dis","upm_dis"
"2760528","09","1","01","276052809101","276052809101","2760528091","276052809","27","4","1","1","027","1","1","101","028","1","027","02","2021","2","213","","","","1","01","2","260","","","8","213","03","2021","3","03","1","01",240,"2","2","6","2","","1","01","1","2","526","12841"
"2760554","11","1","01","276055411101","","2760554111","276055411","27","4","1","3","221","1","3","301","016","1","027","03","2023","1","221","1","01","7","4","04","1","221","1","01","","","","","","","","",274,"2","2","4","1","2","2","","","1","525","12845"
"2760554","17","1","01","276055417101","","2760554171","276055417","27","4","1","1","027","1","1","101","043","1","027","05","2023","2","213","","","","1","01","3","213","","","","","","","","","","",274,"2","2","9","3","","2","","","1","525","12845"
"2760653","09","1","01","276065309101","","2760653091","276065309","27","4","1","1","027","2","3","301","018","1","027","07","2020","1","221","7","20","7","4","04","1","221","7","20","","","","","","","","",242,"2","2","4","2","2","2","","","1","525","12855"
"2760653","09","1","02","276065309102","","2760653091","276065309","27","4","1","1","027","1","3","301","020","1","027","08","2019","1","221","7","20","7","1","01","1","221","7","20","","","","","","","","",242,"2","2","5","2","2","2","","","1","525","12855"
"2760655","15","1","01","276065515101","","2760655151","276065515","27","4","1","1","027","2","3","301","032","1","027","08","2023","2","213","","","","1","01","3","213","","","","","","","","","","",242,"2","2","7","3","","2","","","1","525","12856"
"2760655","15","1","02","276065515102","","2760655151","276065515","27","4","1","1","027","1","5","418","030","1","027","03","2022","2","213","","","","1","01","3","213","","","","","","","","","","",242,"2","2","7","3","","2","","","1","525","12856"
"2760671","04","1","01","276067104101","","2760671041","276067104","27","4","1","1","027","2","3","301","024","1","027","10","2022","2","213","","","","1","01","3","213","","","","","","","","","","",228,"2","2","5","2","","2","","","1","525","12857"
"2760730","02","1","01","276073002101","276073002101","2760730021","276073002","27","4","1","2","007","1","1","101","045","2","007","07","2019","1","221","1","01","7","1","01","2","260","","","1","001","05","2022","3","03","1","01",215,"2","2","10","3","2","1","34","2","2","526","12862"
"2760842","19","1","01","276084219101","","2760842191","276084219","27","4","1","1","027","1","2","201","041","1","027","06","2023","1","221","2","02","2","2","02","1","221","2","02","","","","","","","","",206,"2","2","9","3","1","2","","","1","525","12870"
"2760959","05","1","01","276095905101","","2760959051","276095905","27","4","1","1","027","1","3","301","017","1","027","10","2018","1","221","2","02","7","1","01","1","221","7","43","","","","","","","","",225,"2","2","4","1","2","2","","","1","525","12883"
"2761007","15","1","01","276100715101","","2761007151","276100715","27","4","1","1","027","2","3","301","023","1","027","12","2022","1","221","1","01","9","4","04","1","221","1","01","","","","","","","","",201,"2","2","5","2","9","2","","","1","525","12886"
"2800155","04","1","01","280015504101","280015504101","2800155041","280015504","28","1","1","2","030","1","1","101","045","1","028","12","2018","1","221","2","02","2","2","02","2","260","","","2","002","02","2019","7","07","1","01",342,"1","1","10","3","1","1","02","1","2","528","12906"
"2800555","01","1","01","280055501101","280055501103","2800555011","280055501","28","1","1","1","028","2","3","301","035","1","028","01","2020","1","221","3","06","6","4","04","2","260","","","3","006","06","2022","3","03","1","03",310,"1","1","8","3","1","1","29","2","3","529","12929"
"2800555","01","1","02","280055501102","280055501104","2800555011","280055501","28","1","1","4","216","1","5","418","064","1","028","01","2020","1","221","3","06","5","3","03","2","260","","","3","006","06","2022","3","03","1","04",310,"1","1","13","4","1","1","29","2","3","529","12929"
"2800555","01","1","03","280055501103","280055501105","2800555011","280055501","28","1","1","3","221","1","4","408","006","1","028","01","2020","1","221","3","06","5","3","03","2","260","","","3","006","06","2022","3","03","1","05",310,"1","1","2","1","1","1","29","2","3","529","12929"
"2800555","01","1","04","280055501104","280055501106","2800555011","280055501","28","1","1","3","221","2","4","408","004","1","028","01","2020","1","221","3","06","5","3","03","2","260","","","3","006","01","2020","3","03","1","06",310,"1","1","1","1","1","1","00","1","3","529","12929"
"2800772","04","1","01","280077204101","280077204101","2800772041","280077204","28","1","1","2","024","2","1","101","037","1","028","08","2018","2","213","","","","6","06","2","260","","","8","213","12","2020","3","03","1","01",290,"1","1","8","3","","1","28","2","3","529","12950"
